,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,Location
31,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 09:13:51,Joanna,10501,
32,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 09:12:10,雪蔚,14367,Kuala Lumpur City
33,RT @jaeyfirdaus: Look at the sky!!!! There is no haze today. This is how the sky in Bangi looks like. It is beautiful!!! #hazemalaysia #jer…,0,1,2019-09-24 09:00:53,Haze Malaysia,666,Malaysia
34,"RT @mackillah: wearing Altern 8 N95 neon respirator mask during haze weather @WeAreAltern8
Full On.. Mask Hysteria‼️⁉️‼️ ✊😷 #rave #jerebu #…",0,6,2019-09-24 09:00:29,“PITCH BLACK” 色々配信中,130916,日本 東京
35,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 08:48:14,Dawn Cheong,29626,
36,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 08:43:46,Alfred Loh,702,BOLEHLAND
37,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 08:40:43,Halau Zakir Naik Balik India,22819,Kuala Lumpur
38,"RT @mackillah: wearing Altern 8 N95 neon respirator mask during haze weather @WeAreAltern8
Full On.. Mask Hysteria‼️⁉️‼️ ✊😷 #rave #jerebu #…",0,6,2019-09-24 08:29:50,Rudy Phelps,4543,"Liverpool, England"
39,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 08:29:41,soraya,57495,"KL,MY "
40,"RT @therakyatpost: Goodbye haze, hello flash floods.

#haze #jerebu #Malaysia #monsoon

https://t.co/5pGocuuxJ3",0,4,2019-09-24 08:05:12,Rahah Ghazali 🇲🇾💯,63463,"Kuala Lumpur, Malaysia 🇲🇾"
41,Look at the sky!!!! There is no haze today. This is how the sky in Bangi looks like. It is beautiful!!!… https://t.co/enHkVeHBSS,4,1,2019-09-24 08:03:27,Jaey Firdaus,759,"Selangor, Malaysia"
42,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 07:50:05,your teh-ness,27430,"Kuala Lumpur, Malaysia"
43,"RT @mackillah: wearing Altern 8 N95 neon respirator mask during haze weather @WeAreAltern8
Full On.. Mask Hysteria‼️⁉️‼️ ✊😷 #rave #jerebu #…",0,6,2019-09-24 07:41:55,かえるおはぎ,2427,プロメポリス
44,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 07:32:03,Susan Lankester,5428,
45,"Goodbye haze, hello flash floods.

#haze #jerebu #Malaysia #monsoon

https://t.co/5pGocuuxJ3",3,4,2019-09-24 07:30:00,The Rakyat Post,269,Malaysia
46,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 07:21:46,MJ,956,
47,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 07:17:41,EN,5741,
48,Gd’ day #malaysia day 14 #haze #jerebu observation. #airquality index is getting better w API gradually decreasing… https://t.co/eEoU8lP56l,1,0,2019-09-24 06:57:12,"Eliani Ezani, PhD.",1034,Kuala Lumpur
